id,text,label
579,dasar anak l3bay beneran,toxic
580,eh gobl0k bang,toxic
581,kampr3t,toxic
582,si paling b14d4b beneran,toxic
583,busuk,toxic
584,cupu,toxic
585,eh tololan,toxic
586,ngawur ya,toxic
587,nih g4ring beneran,toxic
588,sinting,toxic
589,eh jelek,toxic
590,norak,toxic
591,s0ngong,toxic
592,otakud4ng,toxic
593,dasar anak mal4s amat,toxic
594,brengsek cuk,toxic
595,3d4n,toxic
596,garing,toxic
597,rese bro,toxic
598,dasar lu sinting,toxic
599,si paling pengacau,toxic
600,wahai bangsat cuk,toxic
601,dasar manusia busuk,toxic
602,g4r1ng,toxic
603,3go1s,toxic
604,cer3wet,toxic
605,idiotan,toxic
606,dasar anak bac0t beneran,toxic
607,pengacau nih,toxic
608,wahai p3m4rah parah,toxic
609,dasar manusia soktau,toxic
610,biadab abis,toxic
611,idiot,toxic
612,pemalas,toxic
613,si mun4f1k nih,toxic
614,b3r15ik,toxic
615,jahat,toxic
616,si paling kurangajar,toxic
617,berisik nih,toxic
618,hei kurangajar,toxic
619,dasar manusia pengacau,toxic
620,bego,toxic
621,eh pecundang,toxic
622,oi br3ngs3k beneran,toxic
623,hei ampas,toxic
624,sinting,toxic
625,kamu malas,toxic
626,5tress,toxic
627,si kurangajar,toxic
628,hei 1di0t cuk,toxic
629,kamu br3ng0s kau,toxic
630,idiot abis,toxic
631,kamu 53t4n sekali,toxic
632,lebay,toxic
633,ampas kau,toxic
634,bego,toxic
635,begokan,toxic
636,kasar,toxic
637,oi goblokan,toxic
638,nakal,toxic
639,si paling idi0tan ya,toxic
640,pem4l45,toxic
641,si lem0t ya,toxic
642,4nj1ng,toxic
643,nih munafik,toxic
644,tukangfitnah nih,toxic
645,woi tolol,toxic
646,edan,toxic
647,tai,toxic
648,kotor,toxic
649,woi sinting,toxic
650,taiayam parah,toxic
651,wahai jahat,toxic
652,5ial4n,toxic
653,bod0h,toxic
654,pecundang bro,toxic
655,pemalas,toxic
656,otakudang beneran,toxic
657,dasar idiot4n nih,toxic
658,dungu,toxic
659,bego,toxic
660,wahai l3bay bang,toxic
661,ampas,toxic
662,payah,toxic
663,oi ngey3l kau,toxic
664,lebay kau,toxic
665,woi k0tor parah,toxic
666,cupu banget,toxic
667,3d4n,toxic
668,dasar par4sit sih,toxic
669,dasar lu t4i ya,toxic
670,keras kepala ya,toxic
671,muka dua beneran,toxic
672,si pengkhianat,toxic
673,goblokan,toxic
674,setan,toxic
675,p3cund4ng,toxic
676,songong abis,toxic
677,kampret amat,toxic
678,dasar anak bu5uk beneran,toxic
679,pen1pu,toxic
680,soktau,toxic
681,setan,toxic
682,si paling b3r4ndal parah,toxic
683,dasar lu penipu abis,toxic
684,kurangajar lu,toxic
685,nyeb3l1n,toxic
686,p3malas,toxic
687,oi tukangfitnah,toxic
688,wahai ng3y3l abis,toxic
689,4r0gan,toxic
690,sombong banget,toxic
691,jahat parah,toxic
692,tuk4ngf1tnah,toxic
693,kamu keras kepala,toxic
694,setan nih,toxic
695,5ial4n,toxic
696,penipu,toxic
697,dungu,toxic
698,oi anjing bang,toxic
699,kamu taiayam,toxic
700,busuk banget,toxic
701,hei anjing,toxic
702,si paling 1di0t cuk,toxic
703,para51t,toxic
704,pemalas,toxic
705,51nting,toxic
706,3d4n,toxic
707,oi 50mbong kau,toxic
708,j4h4t,toxic
709,si tukangfitnah,toxic
710,rese,toxic
711,dasar edan,toxic
712,otakudang,toxic
713,norak,toxic
714,g0bl0k,toxic
715,stress woy,toxic
716,hei nakal lu,toxic
717,dasar lu p3mal4s nih,toxic
718,si br3ng5ek beneran,toxic
719,dasar manusia c4cat woy,toxic
720,bangsat,toxic
721,nih sinting,toxic
722,kampungan ya,toxic
723,woi setan,toxic
724,rusak,toxic
725,kampungan,toxic
726,tolol amat,toxic
727,munafik,toxic
728,eh br3ngo5 bro,toxic
729,nih lebay,toxic
730,dasar manusia norak,toxic
731,dasar anak t0lol banget,toxic
732,lebay banget,toxic
733,k3r45 k3pala,toxic
734,garing beneran,toxic
735,otakudang,toxic
736,dasar lu gar1ng sekali,toxic
737,1d1ot4n,toxic
738,dasar manusia keparat,toxic
739,egois beneran,toxic
740,penipu woy,toxic
741,hei anjing,toxic
742,norak,toxic
743,dasar res3 bro,toxic
744,5tre5s,toxic
745,oi sampah,toxic
746,kamu r3s3 beneran,toxic
747,pengkhianat,toxic
748,wahai t41kuc1ng sekali,toxic
749,dasar manusia egois,toxic
750,hei pem4l45 bang,toxic
751,s0mb0ng,toxic
752,dasar nakal,toxic
753,norak,toxic
754,kur4ng4jar,toxic
755,cupu lu,toxic
756,garing,toxic
757,wahai jelek,toxic
758,kampungan,toxic
759,rusak beneran,toxic
760,kamu pemalas,toxic
761,kamu goblok,toxic
762,pengacau,toxic
763,tol0lan,toxic
764,bacot,toxic
765,kamu soktau,toxic
766,hei garing ya,toxic
767,dasar manusia kampungan,toxic
768,hei pecund4ng amat,toxic
769,parasit bro,toxic
770,tuk4ngfitn4h,toxic
771,tololan sih,toxic
772,nyebelin,toxic
773,muka dua,toxic
774,goblokan,toxic
775,ngawur ya,toxic
776,kamu 3d4n bang,toxic
777,busuk,toxic
778,dasar lu g1l4 kau,toxic
779,si ng3y3l bro,toxic
780,dasar lu nor4k kau,toxic
781,s14lan,toxic
782,si m4l4s sih,toxic
783,dasar lu brengsek abis,toxic
784,p3mar4h,toxic
785,gila,toxic
786,soktau,toxic
787,otakudang,toxic
788,nakal ya,toxic
789,lemot banget,toxic
790,lemot cuk,toxic
791,sombong,toxic
792,si bajingan,toxic
793,eh soktau,toxic
794,si paling payah,toxic
795,ot4kudang,toxic
796,pemalas lu,toxic
797,dasar manusia kampungan,toxic
798,tai,toxic
799,cacat abis,toxic
800,br3ngsek,toxic
801,kurangajar ya,toxic
802,edan,toxic
803,si paling soktau beneran,toxic
804,k3r45 k3p4l4,toxic
805,nakal banget,toxic
806,jahat,toxic
807,begokan bang,toxic
808,baj1ngan,toxic
809,kampungan amat,toxic
810,baj1ngan,toxic
811,g1la,toxic
812,ampas nih,toxic
813,bangsat,toxic
814,sampah beneran,toxic
815,hei berisik,toxic
816,brengsek,toxic
817,dasar nyebelin cuk,toxic
818,ngawur,toxic
819,egois beneran,toxic
820,kamu song0ng nih,toxic
821,ngeyel ya,toxic
822,t41,toxic
823,brengos sekali,toxic
824,p3mala5,toxic
825,si ng3h3 parah,toxic
826,stress bang,toxic
827,si paling t4i4y4m cuk,toxic
828,ngehe sekali,toxic
829,5ombong,toxic
830,jelek,toxic
831,kas4r,toxic
832,sombong,toxic
833,dasar anak kurangajar,toxic
834,dasar bacot,toxic
835,wahai br3ng05 banget,toxic
836,lemot kau,toxic
837,dasar manusia j0r0k parah,toxic
838,songong,toxic
839,nih lebay,toxic
840,si kurangajar,toxic
841,kur4ngajar,toxic
842,woi taikucing,toxic
843,si k4mpret lu,toxic
844,br3ngs3k,toxic
845,brengsek,toxic
846,kasar banget,toxic
847,ampas sekali,toxic
848,dasar anak alay,toxic
849,soktau,toxic
850,5amp4h,toxic
851,wahai jorok,toxic
852,nih pembohong ya,toxic
853,egois ya,toxic
854,oi loser,toxic
855,biad4b,toxic
856,oi kampret bang,toxic
857,oi lebay,toxic
858,si paling mala5 ya,toxic
859,cerewet,toxic
860,goblokan woy,toxic
861,nih goblokan,toxic
862,nakal,toxic
863,b3gok4n,toxic
864,keras kepala,toxic
865,dasar k3parat bro,toxic
866,goblokan sekali,toxic
867,eh t41ayam amat,toxic
868,ngeyel,toxic
869,nih payah,toxic
870,kau g0bl0k sekali,toxic
871,cerewet sih,toxic
872,woi brengseklu,toxic
873,kau dungu cuk,toxic
874,tai ya,toxic
875,pembohong sih,toxic
876,dasar manusia ng3y3l parah,toxic
877,pecundang sekali,toxic
878,kamu b4ng5at ya,toxic
879,kamu jorok,toxic
880,si paling julid sekali,toxic
881,jahil,toxic
882,oi b4cot sih,toxic
883,pengkhianat cuk,toxic
884,edan,toxic
885,brengsek,toxic
886,lebay,toxic
887,dasar 1diot abis,toxic
888,oi ngawur,toxic
889,g0blokan,toxic
890,arogan,toxic
891,sampah sih,toxic
892,garing,toxic
893,dasar anak kurangajar,toxic
894,kampungan,toxic
895,sinting,toxic
896,gobl0kan,toxic
897,c3r3wet,toxic
898,tolol,toxic
899,nih ngawur lu,toxic
900,alay,toxic
901,alay,toxic
902,nih g0blok abis,toxic
903,idiotan,toxic
904,nakal,toxic
905,kamu ngehe,toxic
906,otakudang,toxic
907,hei ngawur,toxic
908,woi k4mpr3t kau,toxic
909,pengkhianat,toxic
910,bego,toxic
911,si paling jelek banget,toxic
912,t41kucing,toxic
913,sialan parah,toxic
914,oi songong,toxic
915,1d1ot4n,toxic
916,otakudang kau,toxic
917,id10t4n,toxic
918,jahat,toxic
919,j3l3k,toxic
920,hei payah,toxic
921,eh malesin,toxic
922,kamu pengacau parah,toxic
923,ngeyel cuk,toxic
924,ngehe bro,toxic
925,cerewet,toxic
926,kamu 5i4lan abis,toxic
927,bodoh,toxic
928,woi tol0l abis,toxic
929,wahai tolol,toxic
930,hei cac4t parah,toxic
931,j0rok,toxic
932,cupu sih,toxic
933,cerewet,toxic
934,cacat,toxic
935,b1adab,toxic
936,woi tololan,toxic
937,busuk banget,toxic
938,keras kepala,toxic
939,woi norak,toxic
940,bod0h,toxic
941,kamu brengsek,toxic
942,tol0lan,toxic
943,taiayam bro,toxic
944,kamu lemot lu,toxic
945,kotor sih,toxic
946,berandal sekali,toxic
947,keparat kau,toxic
948,rese,toxic
949,pemalas lu,toxic
950,arogan,toxic
951,tukangf1tnah,toxic
952,eh idiotan,toxic
953,lemot abis,toxic
954,oi berandal,toxic
955,dasar manusia ngeyel cuk,toxic
956,eh p3nipu cuk,toxic
957,malesin banget,toxic
958,goblokan abis,toxic
959,woi kasar sekali,toxic
960,ngeyel,toxic
961,eh bu5uk abis,toxic
962,j0r0k,toxic
963,garing banget,toxic
964,dasar lu pembohong,toxic
965,tai,toxic
966,cupu,toxic
967,julid amat,toxic
968,cer3w3t,toxic
969,kamu ngeyel,toxic
970,sinting parah,toxic
971,penipu bang,toxic
972,dasar lu keparat,toxic
973,j4hat,toxic
974,sialan sih,toxic
975,tukangfitn4h,toxic
976,nakal nih,toxic
977,ng4wur,toxic
978,pecundang woy,toxic
979,dasar kampret,toxic
980,anjing sih,toxic
981,wahai begokan,toxic
982,kurangaj4r,toxic
983,m4le51n,toxic
984,malesin nih,toxic
985,gil4,toxic
986,kasar,toxic
987,penipu,toxic
988,sampah abis,toxic
989,kau penipu kau,toxic
990,berandal sekali,toxic
991,nih pemalas,toxic
992,jel3k,toxic
993,breng05,toxic
994,brengseklu sekali,toxic
995,kotor,toxic
996,wahai idiot nih,toxic
997,eh jahat,toxic
998,dasar anak m4le51n lu,toxic
999,kau bacot,toxic
1000,dasar manusia nakal,toxic
1001,woi idiot,toxic
1002,bangs4t,toxic
1003,dasar manusia 51nting parah,toxic
1004,sombong sekali,toxic
1005,gila,toxic
1006,si paling egois,toxic
1007,pengacau cuk,toxic
1008,oi keparat,toxic
1009,eh arogan,toxic
1010,brengos bang,toxic
1011,cacat abis,toxic
1012,oi gobl0k4n parah,toxic
1013,j0rok,toxic
1014,cerewet,toxic
1015,kamu malas,toxic
1016,al4y,toxic
1017,pembohong,toxic
1018,muka dua,toxic
1019,b0d0h,toxic
1020,kau p3mal45 abis,toxic
1021,keras kepala,toxic
1022,otakudang,toxic
1023,keras kepala,toxic
1024,1d1otan,toxic
1025,kampret cuk,toxic
1026,kampret banget,toxic
1027,p4y4h,toxic
1028,songong,toxic
1029,si4l4n,toxic
1030,kotor parah,toxic
1031,bacot,toxic
1032,tai bro,toxic
1033,dasar manusia kotor kau,toxic
1034,mun4f1k,toxic
1035,dasar lu ampas,toxic
1036,ngeh3,toxic
1037,p3mal4s,toxic
1038,edan abis,toxic
1039,lem0t,toxic
1040,kamu goblokan nih,toxic
1041,si paling b1adab ya,toxic
1042,nih kampret,toxic
1043,idiotan,toxic
1044,dasar useless,toxic
1045,dasar lu nyebelin,toxic
1046,wahai amp4s sekali,toxic
1047,busuk,toxic
1048,jahil,toxic
1049,pembohong,toxic
1050,si bacot,toxic
1051,wahai kurang4jar bro,toxic
1052,kepar4t,toxic
1053,dasar cer3wet beneran,toxic
1054,oi par451t parah,toxic
1055,muka dua banget,toxic
1056,hei b3randal lu,toxic
1057,dasar anak lebay,toxic
1058,bego,toxic
1059,dasar l3b4y abis,toxic
1060,si paling s14l4n parah,toxic
1061,t4ikucing,toxic
1062,norak,toxic
1063,anjing,toxic
1064,dasar anak kurangajar,toxic
1065,si paling pengkhianat,toxic
1066,nih bi4d4b kau,toxic
1067,muk4 du4,toxic
1068,kau kurangajar,toxic
1069,dasar manusia anjing,toxic
1070,cacat,toxic
1071,b4jingan,toxic
1072,brengsek,toxic
1073,useless woy,toxic
1074,pengacau,toxic
1075,dungu,toxic
1076,tukangfitnah,toxic
1077,si paling ampas,toxic
1078,anjing banget,toxic
